chunk,errors,empty,existing,valid
"data_31", 0, 1929, 0, 48071
"data_15", 0, 1864, 0, 48136
"data_29", 0, 1730, 0, 48270
"data_51", 0, 909, 0, 24091
"data_21", 0, 1817, 0, 48183
"data_25", 0, 1813, 0, 48187
"data_18", 0, 1896, 0, 48104
"data_N21",0, 25421, 5431, 69148
"data_23", 0, 1908, 709, 47383
"data_34", 0, 1853, 774, 47373
"data_NPM05", 5, 9800, 1354, 33665
"data_45", 0, 1843, 866, 47291
"data_09", 1, 1859, 851, 47289
"data_12", 0, 1938, 887, 47175
"data_14", 0, 1836, 826, 47338
"data_03", 0, 880, 422, 23698
"data_N16", 1, 24786, 10173, 65040
"data_11", 1, 1951, 1499, 46549
"data_N25", 0, 25221, 10902, 63877
"data_16", 2, 1790, 2285, 45922
"data_42", 0, 1805, 2321, 45874
"data_N11", 0, 24363, 12488, 63149
"data_10", 1, 1885, 2958, 45156
"data_41", 0, 1789, 2952, 45259
"data_N20", 0, 24846, 14038, 61116
"data_49", 0, 940, 1804, 22256
"data_08", 0, 1882, 3691, 44427
"data_N05", 0, 24806, 14906, 60288
"data_43", 0, 1875, 4423, 43702
"data_NPM01", 8, 10925, 3995, 35061
"data_48", 0, 243, 526, 4911
"data_N01", 0, 24275, 15638, 60087
"data_32", 0, 1806, 5135, 43059
"data_N00", 0, 24525, 16291, 59184
"data_36", 0, 1786, 5933, 42281
"data_N23", 0, 25177, 17135, 57688
"data_N04", 0, 24336, 17225, 58439
"data_33", 0, 1780, 7201, 41019
"data_NPM03", 10, 10917, 4924, 34134
"data_N07", 0, 24481, 18017, 57502
"data_39", 0, 1830, 8314, 39856
"data_02", 0, 1869, 8026, 40105
"data_50", 0, 936, 4011, 20053
"data_07", 0, 921, 4051, 20028
"data_27", 0, 1820, 8207, 39973
"data_28", 1, 1825, 8128, 40046
"data_37", 1, 1800, 8294, 39905
"data_NPM02", 5, 11023, 5639, 33326
"data_01", 0, 1791, 8280, 39929
"data_N24", 0, 25487, 22614, 51898
"data_N26", 0, 25516, 22986, 51497
"data_26", 0, 1869, 9613, 38518
"data_N17", 0, 25028, 23492, 51480
"data_24", 0, 1856, 10336, 37808
"data_N22", 0, 25188, 24075, 50737
"data_38", 0, 1901, 10818, 37281
"data_40", 1, 1875, 11018, 37106
"data_N06", 0, 24280, 25660, 50060
"data_N19", 0, 24620, 25760, 49620
"data_35", 0, 1841, 12450, 35709
"data_00", 0, 1840, 12231, 35929
"data_04", 0, 1888, 12353, 35759
"data_N10", 0, 24691, 27900, 47409
"data_N08", 0, 24458, 27917, 47625
"data_22", 0, 1848, 13758, 34394
"data_13", 0, 1823, 13937, 34240
"data_30", 0, 1818, 13750, 34432
"data_47", 0, 1757, 13609, 34634
"data_46", 0, 1804, 13869, 34327
"data_52", 0, 918, 6829, 17253
"data_N15", 0, 24862, 31292, 43846
"data_N02", 0, 24040, 31940, 44020
"data_N27", 0, 17790, 20624, 27988
"data_06", 0, 1876, 15462, 32662
"data_NPM00", 1, 870, 660, 2482
"data_N14", 0, 24822, 32237, 42941
"data_N18", 1, 24852, 32290, 42857
"data_NPM04", 4, 10896, 8112, 30977
"data_17", 0, 1928, 16972, 31100
"data_20", 0, 1789, 17006, 31205
"data_N09", 0, 24913, 33519, 41568
"data_N12", 0, 24714, 33792, 41494
"data_44", 0, 935, 9236, 14829
"data_05", 0, 1866, 18612, 29522
"data_19", 0, 979, 9328, 14693
"data_N13", 0, 24843, 35060, 40097
